,days_until_funded,funded_amount,terms_disbursal_amount,loan_amount,repayment_term,contains_old,contains_improve,contains_help,contains_buy,contains_loan,negative_sentiment,positive_sentiment,overall_positive,description_length,is_female,is_bulgaria,is_iraq,is_zambia,is_thailand,is_health,is_ed,is_arts,is_agriculture,is_food,is_housing,african,asian,north_american,south_american,european,paid,refunded,defaulted,in_repayment
12594,0,5950,5945.0,5950,6,1,0,0,1,1,4,4,0,66,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12595,0,575,1000000.0,575,14,0,0,0,1,1,3,2,0,157,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
12596,0,600,600.0,600,9,0,0,1,1,1,3,5,1,128,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
12597,0,1425,13500000.0,1425,8,1,0,1,1,1,4,6,1,153,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12598,0,975,95000.0,975,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12599,0,475,225000.0,475,15,1,1,0,1,1,7,5,0,136,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12600,0,325,150000.0,325,15,1,0,0,1,1,3,6,1,93,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12601,0,600,600.0,600,9,0,0,1,1,1,2,5,1,122,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
12602,0,200,8000.0,200,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12603,1,375,15000.0,375,14,1,0,0,1,1,6,5,0,80,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12604,0,200,8000.0,200,7,1,0,1,1,1,6,8,1,239,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12605,5,1400,1400.0,1400,8,1,0,1,1,1,4,4,0,156,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
12606,1,1075,50000.0,1075,14,1,0,0,0,1,3,6,1,126,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12607,0,2475,20000.0,2475,11,0,0,0,0,1,3,2,0,88,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12608,0,2975,24000.0,2975,10,0,0,1,0,1,5,4,0,132,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12609,1,625,53156.25,625,14,0,1,1,1,1,4,3,0,95,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12610,0,1000,1000.0,1000,9,1,1,0,1,1,7,6,0,165,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12611,0,350,14000.0,350,7,1,0,0,0,1,4,5,1,68,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12612,1,375,15000.0,375,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12613,3,750,63585.0,750,14,1,0,0,1,1,4,4,0,111,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12614,3,725,29500.0,725,8,1,0,0,1,1,6,5,0,80,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12615,0,300,12000.0,300,10,1,0,0,0,1,5,5,0,70,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12616,0,250,20000.0,250,11,1,1,0,0,1,4,6,1,127,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12617,0,250,20857.0,250,9,1,0,0,1,1,4,5,1,83,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12618,0,250,10000.0,250,7,1,0,1,1,1,5,2,0,200,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12619,0,300,12000.0,300,8,1,0,0,1,1,5,4,0,78,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12620,0,350,30000.0,350,14,0,0,1,0,1,1,6,1,125,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12621,1,1225,105300.0,1225,14,1,0,0,0,1,4,5,1,88,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12622,1,300,12000.0,300,10,1,0,0,1,1,5,4,0,87,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12623,0,275,11000.0,275,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12624,0,1650,1630.0,1650,6,1,0,0,0,1,4,3,0,63,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12625,0,600,600.0,600,9,1,0,1,1,1,4,5,1,153,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
